Destinataires;Date;Lieu;Objet (narratio et petitio);Contreseing;Langue de rédaction;Pronom personnel employé;Statut;Institution de conservation;Cote;Référence bibliographique;URL vers texte numérisé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anciennes Ligues de la Haute-Allemagne;05/10/1486;Compiègne;Sauf-conduit a été accordé aux Suisses de l'armée du duc d'Autriche qui se sont rendus aux Français, et un secours de deux francs a été attribué à chacun d'eux. Idée que si ces hommes avaient préféré le service de la France à celui de l'Autriche, ils n'eussent pas été réduits à une telle extrémité.;Damont;Latin;Nous;Orig.;Archives cantonales de Zurich; Lettres des rois de France;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.137.;https://archive.org/details/lettresdecharle07chargoog/page/n151/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;09/1484;;Injonction de se conformer à l'ordonnance qui prescrit à la Cour, en cas de vacance, d'élire trois personnes pour être présentées au choix du roi.;;Français;Nous;Copie. ;Archives nationales; Registre du Conseil, 13 septembre 1484.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.45.;https://archive.org/details/lettresdecharle07chargoog/page/n59/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;19/04/1485;Rouen;Ordre a été donné de remettre le sieur de Villarnoul aux mains des commissaires chargés de lui faire son procès.;Mesme;Français;Nous;Copie. ;Archives nationales;X2a, 48.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.74.;https://archive.org/details/lettresdecharle07chargoog/page/n89/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;28/08/1485;Milly;Si conclusion a été faite sur le fait de Montaigu, ordre de lui envoyer un conseiller chargé de l'en instruire.;Duboys;Français;Nous;Orig. ;Archives nationales;X1a 9319, fol.2.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.87.;https://archive.org/details/lettresdecharle07chargoog/page/n101/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;30/07/1487;Ancenis;Les évêques du Puy et de Montauban, détenus au château de Corbeil, se plaignent de n'être pas bien traités. Ordre a été donné au sire de Curton, capitaine de Corbeil, de transférer dans une autre chambre l'évêque de Montauban qui se dit malade.;Parent;Français;Nous;Orig. ;Archives nationales;X1a, 9319, fol.11. ;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.210.;https://archive.org/details/lettresdecharle07chargoog/page/n225/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;30/08/1487;Chateaubriant;Au cours d'un procès entre certains habitants d'Angers d'une part, François de Pontbriant, Adam Fumée, Augier de Brie et Guillaume de Cerisay de l'autre, un accord est intervenu entre les parties, auquel François de Pontbriant n'a pas été compris, de manière qu'il est resté seul en cause : le roi charge Martin Bellefaye de faire savoir à la Cour ses volontés sur ce point.;Damont;Français;Nous;Orig. ;Archives nationales; X1a, 9319, fol.12.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.224.;https://archive.org/details/lettresdecharle07chargoog/page/n239/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;08/10/1487;Laval;Surséance de trois mois en faveur de Navarrot d'Anglade, seigneur de Colombiers, présentement occupé à la guerre en Basse-Bretagne.;Robineau;Français;Nous;Orig. ;Archives nationales; X1a, 9319, fol.13. ;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.231.;https://archive.org/details/lettresdecharle07chargoog/page/n245/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;20/10/1487;Laval;"Ordre d'envoyer à Corbeil des commissaires chargés de vérifier si l'évêque de Montauban est bien réellement malade, ainsi qu'il le dit ; si l'évêque est malade, on le ménera soit à Melun, soit à Saint-Germain-en-Laye.";;Français;Nous;Orig. ;BnF;f.fr.15541, fol.102;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.235.;https://archive.org/details/lettresdecharle06chargoog/page/n245/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;06/11/1487;Caen;Le procès d'entre Me René Lucas, son amônier, Guillaume Charpault et Etienne Rogier, au sujet de la cure de saint-Paul d'Orléans, a été depuis longtemps évoqué au Grand Conseil. Néanmoins, au mépris de l'évocation, plusieurs s'efforcent de rapporter ledit procès devant le Parlement et la Chambre des requêtes de l'hôtel. Le roi attend que les lettres d'évocation sortent leur plein effet.;Damont;Français;Nous;Orig. ;Archives nationales; X1a, 9319, fol.14. ;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.238.;https://archive.org/details/lettresdecharle07chargoog/page/n253/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;06/11/1487;Caen;Le roi a écrit naguère au Parlement au sujet de l'évêque de Montauban, qui est détenu au château de Corbeil. N'ayant pas reçu de réponse, il envoie son conseiller et maître d'hôtel, Philippe Guérin, pour visiter l'hôtel et lui en faire son rapport.;Parent;Français;Nous;Orig. ;Archives nationales;X1a, 9319, fol.15. ;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.240.;https://archive.org/details/lettresdecharle07chargoog/page/n255/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;12/11/1487;Pont-Audemer;Le roi a écrit au Parlement vers le mois de juillet dernier au sujet des entreprises faites en cour de Rome à l'encontre des droits et prérogatives du royaume, notamment l'exemption de la juridiction métropolitaine octroyée par le pape à l'évêque de Paris au mépris des droits de l'archevêque de Sens. Ordre de s'opposer aux entreprises susdites et de procéder, toutes chambres assemblées, à la décision du procès actuellement pendant en la cour sur cette matière.;Parent;Français;Nous;Orig. ;Archives nationales;X1a, 9319, fol.19.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.241.;https://archive.org/details/lettresdecharle07chargoog/page/n255/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;13/11/1487;Pont-Audemer;Ordre de surseoir au procès de la comtesse de Romont.;Parent;Français;Nous;Orig. ;Archives nationales; X1a, 9319, fol.20.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.243.;https://archive.org/details/lettresdecharle07chargoog/page/n257/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Parlement de Paris;20/11/1487;Rouen;L'archevêque de Reims a été empêché par la mort de sa sœur de comparaître au jour qui lui était assigné. Ordre de le tenir pour excuser.;Primaudaye;Français;Nous;Orig. ;Archives nationales;X1a, 9319, fol.22.;Lettres de Charles VIII, roi de France, vol.1, Librairie Renouard, H. Laurens, 1898, p.245.;https://archive.org/details/lettresdecharle07chargoog/page/n259/mode/2up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
